Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1728995457,5,,Aggregated,1.700000,0.000000,34,42,70,110,280,4200,4200,4200,4200,4200,4200,40,0,32,356.0241269035032,2.9934669728390872,4243.791124026757,141661.725
1728995458,6,,Aggregated,2.100000,0.000000,32,41,62,99,120,4200,4200,4200,4200,4200,4200,44,0,32,325.62979668331207,2.9934669728390872,4243.791124026757,130346.18181818182
1728995459,6,,Aggregated,2.000000,0.000000,32,41,62,84,120,4200,4200,4200,4200,4200,4200,46,0,32,313.7513323061917,2.9934669728390872,4243.791124026757,125803.56521739131
1728995460,6,,Aggregated,2.300000,0.000000,32,40,49,84,120,4200,4200,4200,4200,4200,4200,49,0,32,295.6068511845601,2.9934669728390872,4243.791124026757,118645.08163265306
1728995461,6,,Aggregated,2.300000,0.000000,26,37,49,70,110,4200,4200,4200,4200,4200,4200,51,0,26,284.60529602164695,2.9934669728390872,4243.791124026757,114037.49019607843
1728995462,6,,Aggregated,2.500000,0.000000,32,40,62,84,120,4200,4200,4200,4200,4200,4200,54,0,26,344.2790899479641,2.9934669728390872,4243.791124026757,138171.22222222222
1728995463,6,,Aggregated,2.500000,0.000000,26,40,51,74,120,4200,4200,4200,4200,4200,4200,57,0,26,327.3106481800297,2.9934669728390872,4243.791124026757,131813.87719298244
1728995464,7,,Aggregated,2.400000,0.000000,24,37,51,74,120,4200,4200,4200,4200,4200,4200,60,0,24,311.6073477712537,2.9934669728390872,4243.791124026757,125622.4
1728995465,7,,Aggregated,2.600000,0.000000,24,40,51,74,110,4000,4200,4200,4200,4200,4200,61,0,24,308.2077931851286,2.9934669728390872,4243.791124026757,123607.55737704918
1728995466,7,,Aggregated,2.900000,0.000000,24,40,62,74,110,4000,4200,4200,4200,4200,4200,64,0,24,294.9737818016729,2.9934669728390872,4243.791124026757,118859.625
1728995467,7,,Aggregated,2.900000,0.000000,24,40,62,80,110,4000,4200,4200,4200,4200,4200,65,0,24,291.6719827899494,2.9934669728390872,4243.791124026757,117814.63076923077
1728995468,7,,Aggregated,2.600000,0.000000,23,37,51,74,110,4000,4200,4200,4200,4200,4200,69,0,23,275.53924164258996,2.9934669728390872,4243.791124026757,111665.69565217392
1728995469,7,,Aggregated,2.600000,0.000000,24,37,62,80,110,4200,4200,4200,4200,4200,4200,74,0,23,315.0701162482398,2.581013017334044,4243.791124026757,127078.68918918919
1728995470,8,,Aggregated,2.500000,0.000000,24,37,62,74,110,4200,4200,4200,4200,4200,4200,76,0,24,307.5676848606427,2.581013017334044,4243.791124026757,124469.6447368421
1728995471,8,,Aggregated,2.500000,0.000000,24,40,62,80,120,4200,4200,4200,4200,4200,4200,79,0,24,298.9062537016241,2.581013017334044,4243.791124026757,120684.08860759494
1728995472,8,,Aggregated,2.800000,0.000000,24,37,62,80,120,4200,4200,4200,4200,4200,4200,80,0,24,295.2996402309509,2.581013017334044,4243.791124026757,119194.3625
1728995473,8,,Aggregated,2.600000,0.000000,24,40,62,84,120,4000,4200,4200,4200,4200,4200,84,0,24,284.7178158865842,2.581013017334044,4243.791124026757,114703.84523809524
1728995474,8,,Aggregated,2.900000,0.000000,24,41,62,80,120,4000,4200,4200,4200,4200,4200,87,0,24,276.16171852281406,2.581013017334044,4243.791124026757,112041.16091954023
1728995475,8,,Aggregated,2.800000,0.000000,24,40,52,74,110,4000,4200,4200,4200,4200,4200,92,0,23,262.2295768530381,2.581013017334044,4243.791124026757,106605.76086956522
1728995476,9,,Aggregated,2.700000,0.000000,23,41,61,80,120,4000,4200,4200,4200,4200,4200,99,0,23,247.78105765216597,2.581013017334044,4243.791124026757,100770.95959595959
1728995477,9,,Aggregated,3.100000,0.000000,24,42,62,84,120,4000,4200,4200,4200,4200,4200,100,0,23,246.15748147538397,2.581013017334044,4243.791124026757,100272.6
1728995478,9,,Aggregated,3.100000,0.000000,23,40,61,80,110,280,4200,4200,4200,4200,4200,103,0,23,239.55700004493673,2.581013017334044,4243.791124026757,97365.47572815535
1728995479,9,,Aggregated,3.100000,0.000000,22,37,51,74,110,280,4200,4200,4200,4200,4200,110,0,22,225.61427553300746,2.581013017334044,4243.791124026757,92559.24545454545
1728995480,9,,Aggregated,3.500000,0.000000,22,36,51,70,110,280,4200,4200,4200,4200,4200,114,0,22,218.28607377737123,2.581013017334044,4243.791124026757,89785.22807017544
